page_url,image_url,alt,alt_attribute_present,width,height,loading,fetchpriority
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/1.png,Edward Clarke,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/1.webp,1,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/2.png,Lexie Watson,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/2.webp,2,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/3.png,Hattie Harrison,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/3.webp,3,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/4.webp,4,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/5.webp,5,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/6.webp,6,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/7.webp,7,True,,,,
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/Media87-2.jpeg,,True,1376,768,,high
https://media87.com/,https://media87.com/wp-content/uploads/2026/07/Media87.jpeg,,True,1376,768,,
https://media87.com/,https://media87.com/wp-content/uploads/elementor/thumbs/cropped-logo-rquhhp72kff4mfaxa1ogr4mx9nikif26rixyre7rb4.webp,cropped-logo,True,,,lazy,
https://media87.com/,https://media87.com/wp-content/uploads/elementor/thumbs/cropped-logo-rquhhp72kff7hjqbop3eqx94ishyhn4ybtb9g0buo0.webp,cropped-logo,True,,,lazy,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/1.webp,1,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/2.webp,2,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/3.webp,3,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/4.webp,4,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/5.webp,5,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/6.webp,6,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/7.webp,7,True,,,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/Logo.png,,True,179,40,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/marketing-meeting-in-office.jpg,,True,1280,854,,
https://media87.com/about-us/,https://media87.com/wp-content/uploads/2026/07/the-smart-generation.jpg,,True,1280,853,,high
https://media87.com/about-us/,https://media87.com/wp-content/uploads/elementor/thumbs/cropped-logo-rquhhp72kff4mfaxa1ogr4mx9nikif26rixyre7rb4.webp,cropped-logo,True,,,lazy,
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://media87.com/wp-content/uploads/2026/06/media87-ai-seo-dubai-inline1-20260601051543.png,30-day AI SEO workflow illustration with calendar and optimization steps,True,,,,
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://media87.com/wp-content/uploads/2026/06/media87-ai-seo-dubai-inline2-20260601051552.png,Local SEO performance analysis setup for a Dubai small business campaign,True,,,,
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://media87.com/wp-content/uploads/2026/07/Google-Ads-Agency-Dubai.webp,Google Ads Agency Dubai,True,1200,670,,
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://media87.com/wp-content/uploads/2026/07/Logo.png,,True,179,40,,
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://media87.com/wp-content/uploads/elementor/thumbs/cropped-logo-rquhhp72kff4mfaxa1ogr4mx9nikif26rixyre7rb4.webp,cropped-logo,True,,,lazy,
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://secure.gravatar.com/avatar/f7696fe11a8caf5f81d3ffd4ebf932c21458c6765b315375d6a87b2408c8c504?s=300&d=mm&r=g,muddaser321@gmail.com,True,,,lazy,
https://media87.com/ai-video-creation-service/,https://media87.com/wp-content/uploads/2026/07/Logo.png,,True,179,40,,
https://media87.com/ai-video-creation-service/,https://media87.com/wp-content/uploads/elementor/thumbs/cropped-logo-rquhhp72kff4mfaxa1ogr4mx9nikif26rixyre7rb4.webp,cropped-logo,True,,,lazy,
